,Dc_Dist,Psa,Dispatch_Date_Time,Dispatch_Date,Dispatch_Time,Hour,Dc_Key,Location_Block,UCR_General,Text_General_Code,Police_Districts,Month,Lon,Lat,Year_Nr,Month_Nr,Day_Nr,Close to Campus,Closest College
76422,22,2,2015-01-01 00:02:00,2015-01-01,00:02:00,0,201522000002,N 29TH ST / W SEDGLEY AVE,1500.0,Weapon Violations,16,2015-01,-75.18102,39.985832,2015,1,1,No,
211558,24,2,2015-01-01 00:09:00,2015-01-01,00:09:00,0,201524000005,400 BLOCK E CLEARFIELD ST,1500.0,Weapon Violations,17,2015-01,-75.121792,39.995908,2015,1,1,No,
366682,35,2,2015-01-01 00:52:00,2015-01-01,00:52:00,0,201535000028,300 BLOCK E SHELDON ST,1500.0,Weapon Violations,20,2015-01,-75.118768,40.027861,2015,1,1,No,
385363,39,2,2015-01-01 01:04:00,2015-01-01,01:04:00,1,201539000013,1400 BLOCK W BUTLER ST,1500.0,Weapon Violations,21,2015-01,-75.151166,40.010838,2015,1,1,No,
1493958,15,3,2015-01-01 01:22:00,2015-01-01,01:22:00,1,201515000036,6500 BLOCK ROOSEVELT BLVD BLVD,1500.0,Weapon Violations,2,2015-01,-75.064497,40.036733,2015,1,1,No,
367589,15,1,2015-01-01 02:19:00,2015-01-01,02:19:00,2,201515000102,2100 BLOCK ORTHODOX ST,400.0,Aggravated Assault Firearm,11,2015-01,-75.078584,40.009459,2015,1,1,No,
1957350,18,1,2015-01-01 02:39:00,2015-01-01,02:39:00,2,201518000049,5700 BLOCK CHESTNUT ST,300.0,Robbery Firearm,14,2015-01,-75.23522,39.959682,2015,1,1,No,
88129,22,2,2015-01-01 02:58:00,2015-01-01,02:58:00,2,201522000083,3000 BLOCK W BERKS ST,1500.0,Weapon Violations,16,2015-01,-75.183419,39.985067,2015,1,1,No,
1621440,14,1,2015-01-01 03:14:00,2015-01-01,03:14:00,3,201514000052,6700 BLOCK HOLLIS ST,400.0,Aggravated Assault Firearm,10,2015-01,-75.1597,40.057896,2015,1,1,No,
2055173,22,2,2015-01-01 03:27:00,2015-01-01,03:27:00,3,201522000103,1900 BLOCK N 25TH ST,300.0,Robbery Firearm,16,2015-01,-75.175036,39.984245,2015,1,1,No,
1621451,14,1,2015-01-01 03:42:00,2015-01-01,03:42:00,3,201514000053,6700 BLOCK HOLLIS ST,400.0,Aggravated Assault Firearm,10,2015-01,-75.1597,40.057896,2015,1,1,No,
1621462,14,1,2015-01-01 03:42:00,2015-01-01,03:42:00,3,201514000054,6700 BLOCK HOLLIS ST,400.0,Aggravated Assault Firearm,10,2015-01,-75.1597,40.057896,2015,1,1,No,
